gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,6,Red,top,Biubiu,oe:player:445af96e9e883e18105c9c6072d97a1,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,K'Sante,Galio,Ryze,Zeri,Renata Glasc,Fiora,2692
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,7,Red,jng,Heng,oe:player:92f0831b560a15d8be3be25275adb08,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Vi,Galio,Ryze,Zeri,Renata Glasc,Fiora,2692
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,8,Red,mid,Shanks,oe:player:0e2f0d3ded24c190dd6a4b3d6f89f04,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Syndra,Galio,Ryze,Zeri,Renata Glasc,Fiora,2692
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,9,Red,bot,Hope,oe:player:7cf68f44e5dc31827b1d3f0a3b4a28e,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Aphelios,Galio,Ryze,Zeri,Renata Glasc,Fiora,2692
9691-9691_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9691,LPL,2023,Spring,0,1/14/2023 9:07,3,13.01,10,Red,sup,Iwandy,oe:player:db820b983e253a5e5926aa8cd8d1a82,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Soraka,Galio,Ryze,Zeri,Renata Glasc,Fiora,2692
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,1,Blue,top,Zdz,oe:player:132ee4b29ebeac294a420dcebe64bdc,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Fiora,Jax,Galio,Wukong,Kennen,Renekton,2762
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,2,Blue,jng,Xiaohao,oe:player:58771d428ade54dd5983bbe70ce0383,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Graves,Jax,Galio,Wukong,Kennen,Renekton,2762
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,3,Blue,mid,Harder,oe:player:c6ad8b5c4df40d2f69ee833a8a56681,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Syndra,Jax,Galio,Wukong,Kennen,Renekton,2762
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,4,Blue,bot,Betty,oe:player:7e754adda86a60e0a39d7204ba60424,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Jhin,Jax,Galio,Wukong,Kennen,Renekton,2762
9692-9692_game_1,partial,https://lpl.qq.com/es/stats.shtml?bmid=9692,LPL,2023,Spring,0,1/14/2023 9:18,1,13.01,5,Blue,sup,SwordArt,oe:player:0908c66a5c361f682282599e75b334f,Anyone's Legend,oe:team:ed28f87f0cfdba0a2a8f183cebae73a,Heimerdinger,Jax,Galio,Wukong,Kennen,Renekton,2762
